セット電流(A),磁場(mT),実測電流(A),mV,
7,109.3,11.038,17.99,1450.806452
6,93.1,9.4796,19.2372,1551.387097
5,78.1,7.9196,21.2915,1717.056452
4,62.7,6.3625,24.4237,1974.430073
3,46.7,4.8024,31.532,2559.415584
2.5,38.8,4.0224,32.5231,2648.460912
2,31,3.2438,38.1,3107.66721
1.5,23.3,2.4623,39.564,3229.714286
1,15.3,1.6822,40.3951,3297.559184
0.75,11.3,1.2915,40.5889,3313.379592
0.5,7.4,0.9022,40.4031,3298.212245
0.25,3.4,0.5129,35.4221,2882.188771
0.125,1.6,0.3138,25.7968,2087.119741
0,1.5,0.1237,18.573,1495.410628
-0.125,-2.5,-0.0723,16.8467,1355.325825
-0.25,-4.4,-0.2699,16.522,1329.20354
-0.5,-8.3,-0.6574,16.4082,1320.04827
-0.75,-12.2,-1.0494,16.3747,1317.353178
-1,-16.1,-1.44,16.3555,1314.750804
-1.5,-23.9,-2.2196,16.3303,1312.72508
-2,-31.7,-2.9991,16.3127,1311.310289
-2.5,-38.8,-3.7802,16.2992,1310.22508
-3,-47.1,-4.5583,16.2893,1309.42926
-4,-62.5,-6.119,16.2753,1308.303859
-5,-77.7,-7.6796,16.2682,1307.733119
-6,-92.9,-9.2373,16.2651,1307.483923
-7,-108,-10.797,16.2661,1307.564309
