H /mT,R /Ω
109.1,1439.485117
94.4,1490.925926
79.2,1569.556809
63.8,1705.887097
48.4,2067.712207
40.7,2374.805511
32.9,2742.02439
25.4,2996.392508
17.1,3151.85155
12.8,3193.482871
9.2,3231.647635
5.4,3198.132137
3.3,3084.523227
1.4,2513.587662
-0.4,1664.040323
-2.4,1395.518906
-6.2,1324.790997
-10.1,1318.963023
-14.1,1316.302251
-21.9,1313.472669
-29.7,1311.446945
-37.5,1310.080386
-45.2,1308.528939
-60.8,1308.046624
-70.5,1307.540193
-92.1,1307.250804
-107.6,1307.475884
