セット電流(A),磁場(mT),実測電流(A),電流(μA),電圧(μV）,抵抗(Ω）
7,109.1,11.038,12.43,17892.8,1439.485117
6,94.4,9.4811,12.42,18517.3,1490.925926
5,79.2,7.9211,12.41,19478.2,1569.556809
4,63.8,6.364,12.4,21153,1705.887097
3,48.4,4.8039,12.37,25577.6,2067.712207
2.5,40.7,4.0239,12.34,29305.1,2374.805511
2,32.9,3.2438,12.3,33726.9,2742.02439
1.5,25.4,2.4638,12.28,36795.7,2996.392508
1,17.1,1.6822,12.26,38641.7,3151.85155
0.75,12.8,1.293,12.26,39152.1,3193.482871
0.5,9.2,0.9037,12.26,39620,3231.647635
0.25,5.4,0.5129,12.26,39209.1,3198.132137
0.125,3.3,0.3183,12.27,37847.1,3084.523227
0,1.4,0.1222,12.32,30967.4,2513.587662
-0.125,-0.4,-0.0753,12.4,20634.1,1664.040323
-0.25,-2.4,-0.2699,12.43,17346.3,1395.518906
-0.5,-6.2,-0.6574,12.44,16480.4,1324.790997
-0.75,-10.1,-1.0494,12.44,16407.9,1318.963023
-1,-14.1,-1.44,12.44,16374.8,1316.302251
-1.5,-21.9,-2.2196,12.44,16339.6,1313.472669
-2,-29.7,-2.9976,12.44,16314.4,1311.446945
-2.5,-37.5,-3.7802,12.44,16297.4,1310.080386
-3,-45.2,-4.5568,12.44,16278.1,1308.528939
-4,-60.8,-6.119,12.44,16272.1,1308.046624
-5,-70.5,-7.6781,12.44,16265.8,1307.540193
-6,-92.1,-9.2373,12.44,16262.2,1307.250804
-7,-107.6,-10.797,12.44,16265,1307.475884
